,Close,High,Low,Open,psUnix
1805,362916284.6109976208525637523554255,362916284.6109976208525637523554255,362916284.6109976208525637523554255,362916284.6109976208525637523554255,1627416000
1806,362916284.6109976208525637523554255,362916284.6109976208525637523554255,362916284.6109976208525637523554255,362916284.6109976208525637523554255,1627434000
1807,367626708.7930014322823134354901943,367626708.7930014322823134354901943,364218649.6108787546764534265855202,364218649.6108787546764534265855202,1627437600
1808,367626708.7930014322823134354901943,367626708.7930014322823134354901943,367626708.7930014322823134354901943,367626708.7930014322823134354901943,1627444800
1809,370661751.8484780806046416437742476,380372061.86690201462889688902735,369050163.2574772931809008691150466,380372061.86690201462889688902735,1627452000
1810,368485611.078978004239476361232504,370000797.8761989495458233662681029,368485611.078978004239476361232504,370000797.8761989495458233662681029,1627455600
1811,368485611.078978004239476361232504,368485611.078978004239476361232504,368485611.078978004239476361232504,368485611.078978004239476361232504,1627459200
1812,368485611.078978004239476361232504,368485611.078978004239476361232504,368485611.078978004239476361232504,368485611.078978004239476361232504,1627466400
1813,368447805.835393288945187304982419,368447805.835393288945187304982419,368447805.835393288945187304982419,368447805.835393288945187304982419,1627477200
1814,372079119.7860266187010707206841701,378415772.804344485397859490569146,372079119.7860266187010707206841701,378415772.804344485397859490569146,1627484400
1815,371490090.9232364531454166643601945,371823529.6131019063123943620571793,371490090.9232364531454166643601945,371823529.6131019063123943620571793,1627488000
1816,373156381.9565211137397045970917073,373156381.9565211137397045970917073,371647368.6903927142530663206894013,371647368.6903927142530663206894013,1627498800
1817,373156381.9565211137397045970917073,373156381.9565211137397045970917073,373156381.9565211137397045970917073,373156381.9565211137397045970917073,1627502400
1818,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373550519.5284733526728662344235311,373550519.5284733526728662344235311,1627516800
1819,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373696749.7497657488472373155203841,1627524000
1820,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373696749.7497657488472373155203841,1627527600
1821,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373696749.7497657488472373155203841,373696749.7497657488472373155203841,1627534800
1822,374249935.7556186092022881734122648,374249935.7556186092022881734122648,373696749.7497657488472373155203841,373696749.7497657488472373155203841,1627538400
1823,374249935.7556186092022881734122648,374249935.7556186092022881734122648,374249935.7556186092022881734122648,374249935.7556186092022881734122648,1627542000
1824,375053079.1722684586312881955157384,375053079.1722684586312881955157384,374249935.7556186092022881734122648,374249935.7556186092022881734122648,1627545600
1825,375053079.1722684586312881955157384,375053079.1722684586312881955157384,375053079.1722684586312881955157384,375053079.1722684586312881955157384,1627549200
1826,376476357.0733806078367130206918969,376476357.0733806078367130206918969,375154632.7625731305288556642744471,375154632.7625731305288556642744471,1627552800
1827,378757557.8364701025252437991418095,384580397.5914562212061292196540493,376476357.0733806078367130206918969,376476357.0733806078367130206918969,1627560000
1828,376074293.4716567064548532781727529,378719201.438868612497327179966089,375807221.0795107611266801786786593,378719201.438868612497327179966089,1627563600
1829,377354358.4174752513349825466914894,377354358.4174752513349825466914894,376074293.4716567064548532781727529,376074293.4716567064548532781727529,1627567200
1830,365673583.5655233915010789672215703,377130069.5238460004028600188534442,365673583.5655233915010789672215703,377130069.5238460004028600188534442,1627570800
1831,362768280.2914752920651505012383502,364539787.7364685501955536027659948,362768280.2914752920651505012383502,364539787.7364685501955536027659948,1627574400
1832,369219709.0235858410269734144169961,369219709.0235858410269734144169961,365785975.4416081650613945949886406,365785975.4416081650613945949886406,1627578000
1833,369198175.7264957951111901740906571,369219709.0235858410269734144169961,369198175.7264957951111901740906571,369219709.0235858410269734144169961,1627581600
1834,369198175.7264957951111901740906571,369198175.7264957951111901740906571,369198175.7264957951111901740906571,369198175.7264957951111901740906571,1627588800
1835,369225232.6432517135959803373354086,369225232.6432517135959803373354086,369225232.6432517135959803373354086,369225232.6432517135959803373354086,1627596000
1836,376646541.2943656376259176454238837,376646541.2943656376259176454238837,369345134.3616726905743307730359841,369345134.3616726905743307730359841,1627599600
1837,380889957.1305155524597774889077858,394378033.7656430239895696584632239,377332314.3596458351711894506013999,377332314.3596458351711894506013999,1627603200
1838,382772561.2388920966177890736974397,382772561.2388920966177890736974397,382772561.2388920966177890736974397,382772561.2388920966177890736974397,1627606800
1839,382772561.2388920966177890736974397,382772561.2388920966177890736974397,382772561.2388920966177890736974397,382772561.2388920966177890736974397,1627617600
1840,382772561.2388920966177890736974397,382772561.2388920966177890736974397,382772561.2388920966177890736974397,382772561.2388920966177890736974397,1627632000
1841,381967653.4067929008319360339829694,382772561.2388920966177890736974397,381967653.4067929008319360339829694,382772561.2388920966177890736974397,1627635600
1842,381967653.4067929008319360339829694,381967653.4067929008319360339829694,381967653.4067929008319360339829694,381967653.4067929008319360339829694,1627642800
1843,381967653.4067929008319360339829694,381967653.4067929008319360339829694,381967653.4067929008319360339829694,381967653.4067929008319360339829694,1627653600
1844,382535953.5376916588764981976909669,382535953.5376916588764981976909669,382091203.0353748906884690716672622,382091203.0353748906884690716672622,1627671600
1845,384585112.2466877738242053694340783,384585112.2466877738242053694340783,382994004.8333651978845702071335838,382994004.8333651978845702071335838,1627675200
1846,387625294.8527314957207507127336309,387625294.8527314957207507127336309,385388963.0616310775226129175789006,385388963.0616310775226129175789006,1627678800
1847,392452441.6869772167165878773356442,392452441.6869772167165878773356442,387983499.491207263882635099737176,387983499.491207263882635099737176,1627682400
1848,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627696800
1849,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627700400
1850,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627704000
1851,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627714800
1852,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627718400
1853,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627722000
1854,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627725600
1855,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,392452441.6869772167165878773356442,1627729200
1856,392392840.4181996980250352159649746,392392840.4181996980250352159649746,392339271.1580531292874062216757262,392339271.1580531292874062216757262,1627743600
1857,392537778.3698099447226561979455593,392537778.3698099447226561979455593,392537778.3698099447226561979455593,392537778.3698099447226561979455593,1627747200
1858,392581180.1648418776555070156982843,392581180.1648418776555070156982843,392581180.1648418776555070156982843,392581180.1648418776555070156982843,1627750800
1859,392942955.095223306507768529765109,392942955.095223306507768529765109,392942955.095223306507768529765109,392942955.095223306507768529765109,1627754400
1860,393585836.3494814923902321973979175,393585836.3494814923902321973979175,392942955.095223306507768529765109,392942955.095223306507768529765109,1627758000
1861,395680562.7018032396866953872772523,395680562.7018032396866953872772523,395680562.7018032396866953872772523,395680562.7018032396866953872772523,1627761600
1862,401224143.6031781854851486827511809,401224143.6031781854851486827511809,396552830.8805790469323169530074633,396552830.8805790469323169530074633,1627765200
1863,404198602.6716171233468814114902111,404198602.6716171233468814114902111,401395940.5379505793044200569186009,401395940.5379505793044200569186009,1627768800
1864,411333779.1583795586592397086797493,411944438.7100028162762917293772925,404347442.7095653050280294161369076,404347442.7095653050280294161369076,1627772400
1865,411084483.9830080463218716850818779,411247633.4990042483538968903516787,410901471.0028112455702119248922327,411247633.4990042483538968903516787,1627776000
1866,403641041.1494699863597717945381802,411050967.8352236955380198539499938,401915947.1357906909602416294954051,411050967.8352236955380198539499938,1627779600
1867,404401154.9601497250731509746525607,404401154.9601497250731509746525607,403910312.2283889394391893118536798,403910312.2283889394391893118536798,1627783200
1868,408752719.2346734730017669771011286,449574201.5651702491052024716680076,408752719.2346734730017669771011286,449574201.5651702491052024716680076,1627786800
1869,390880774.8636890620760673725097515,408063455.6471258086165964406382762,390880774.8636890620760673725097515,408063455.6471258086165964406382762,1627790400
1870,394915142.6975281386457510922822134,396753698.8228960674318995440194798,388136958.4310248509643619277173199,394544722.9056120183278990974052112,1627794000
1871,398870839.0526407965097991935971142,398870839.0526407965097991935971142,395282535.5112314882563774066737985,395282535.5112314882563774066737985,1627797600
1872,399482924.8839794079572940927338185,399482924.8839794079572940927338185,399482924.8839794079572940927338185,399482924.8839794079572940927338185,1627801200
1873,398447019.0930131019598505902229378,398708379.6307863839725580466762678,398447019.0930131019598505902229378,398708379.6307863839725580466762678,1627812000
1874,398447019.0930131019598505902229378,398447019.0930131019598505902229378,398447019.0930131019598505902229378,398447019.0930131019598505902229378,1627815600
1875,401805071.5327049830015442566215979,401805071.5327049830015442566215979,399042283.8564030288998147725875818,399042283.8564030288998147725875818,1627826400
1876,403636351.346339394627321780852618,403636351.346339394627321780852618,401805071.5327049830015442566215979,401805071.5327049830015442566215979,1627833600
1877,412525691.1638206739400701278356176,413009616.4485110521257434941827125,412525691.1638206739400701278356176,413009616.4485110521257434941827125,1627840800
1878,418576053.9750353427729881151893029,420949585.9436516361207518699671284,413450977.421717662308456282781396,413450977.421717662308456282781396,1627848000
1879,410595320.4921848326166501259034008,418359220.7691318634211520684949964,410595320.4921848326166501259034008,418359220.7691318634211520684949964,1627858800
1880,410595320.4921848326166501259034008,410595320.4921848326166501259034008,410595320.4921848326166501259034008,410595320.4921848326166501259034008,1627862400
1881,410486167.8790835033747666929916916,410585841.5135260821355693109337433,410486167.8790835033747666929916916,410585841.5135260821355693109337433,1627869600
1882,410486167.8790835033747666929916916,410486167.8790835033747666929916916,410486167.8790835033747666929916916,410486167.8790835033747666929916916,1627873200
1883,410486167.8790835033747666929916916,410486167.8790835033747666929916916,410486167.8790835033747666929916916,410486167.8790835033747666929916916,1627876800
1884,411415015.6677958626855217572257329,411415015.6677958626855217572257329,410486167.8790835033747666929916916,410486167.8790835033747666929916916,1627884000
1885,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,1627891200
1886,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,1627894800
1887,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,1627898400
1888,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,414251391.3340718667889998507702664,1627902000
1889,414902667.2750182325069265963056001,414902667.2750182325069265963056001,414902667.2750182325069265963056001,414902667.2750182325069265963056001,1627905600
1890,415823370.0962299268497031050200779,415823370.0962299268497031050200779,415823370.0962299268497031050200779,415823370.0962299268497031050200779,1627909200
1891,416821347.5847954822276568673501429,416821347.5847954822276568673501429,415823370.0962299268497031050200779,415823370.0962299268497031050200779,1627912800
1892,420282806.8845870357112828046538712,420282806.8845870357112828046538712,417168583.1810469974313440178822223,417168583.1810469974313440178822223,1627916400
1893,420218183.7318232476878022090346029,420218183.7318232476878022090346029,420218183.7318232476878022090346029,420218183.7318232476878022090346029,1627923600
1894,414192035.051875751594614307239906,419884323.7069576499398268270758712,414192035.051875751594614307239906,419884323.7069576499398268270758712,1627938000
1895,407503306.0255629582373953968428382,407503306.0255629582373953968428382,407315551.9129015319737838142604463,407315551.9129015319737838142604463,1627941600
1896,409925448.786834332004385325740901,409925448.786834332004385325740901,408280165.9417685695412195899607842,408280165.9417685695412195899607842,1627948800
1897,407992376.4304488888587564202697974,408439543.9966943651145570782199034,407992376.4304488888587564202697974,408439543.9966943651145570782199034,1627952400
1898,407092576.8998216914436900001447619,407510017.1905541353351167159480116,407092576.8998216914436900001447619,407510017.1905541353351167159480116,1627956000
1899,407957564.2748667674668602454617507,407957564.2748667674668602454617507,407957564.2748667674668602454617507,407957564.2748667674668602454617507,1627963200
1900,398947232.1171261038396251805220824,407700220.4165417911917004680317429,398947232.1171261038396251805220824,407700220.4165417911917004680317429,1627966800
1901,398947232.1171261038396251805220824,398947232.1171261038396251805220824,398947232.1171261038396251805220824,398947232.1171261038396251805220824,1627970400
1902,399744192.0324797432042360781712274,414023312.1368926549635477911905721,398947232.1171261038396251805220824,398947232.1171261038396251805220824,1627981200
1903,399744192.0324797432042360781712274,399744192.0324797432042360781712274,399744192.0324797432042360781712274,399744192.0324797432042360781712274,1627984800
1904,399954625.0300526062372981142852035,399954625.0300526062372981142852035,399954625.0300526062372981142852035,399954625.0300526062372981142852035,1627988400
1905,413752447.6375115915758104878829159,413752447.6375115915758104878829159,400548683.4891075310509705300165354,400548683.4891075310509705300165354,1627995600
1906,408394939.5925795369399537814670011,413654843.4502036207589098571687351,408394939.5925795369399537814670011,413654843.4502036207589098571687351,1627999200
1907,405425548.8392019155637972585124811,408152520.7026013151519498463845083,405425548.8392019155637972585124811,408152520.7026013151519498463845083,1628002800
1908,405283879.0724965115200929165040225,405283879.0724965115200929165040225,405283879.0724965115200929165040225,405283879.0724965115200929165040225,1628006400
1909,405283879.0724965115200929165040225,405283879.0724965115200929165040225,405283879.0724965115200929165040225,405283879.0724965115200929165040225,1628013600
1910,404897858.6914143220708369294898214,404897858.6914143220708369294898214,404897858.6914143220708369294898214,404897858.6914143220708369294898214,1628020800
1911,405325852.089631159344439743939966,405325852.089631159344439743939966,405221068.6523166574577277717958606,405221068.6523166574577277717958606,1628031600
1912,405420168.7649389302372114627135089,405420168.7649389302372114627135089,405420168.7649389302372114627135089,405420168.7649389302372114627135089,1628035200
1913,406200083.4803379818422530179851797,406200083.4803379818422530179851797,405839109.9231195506773284251223315,405839109.9231195506773284251223315,1628042400
1914,406094222.7897873785177811865435018,406094222.7897873785177811865435018,406094222.7897873785177811865435018,406094222.7897873785177811865435018,1628056800
1915,405110518.0150690362989757883778001,405238760.3877690793812164807965241,405110518.0150690362989757883778001,405238760.3877690793812164807965241,1628060400
1916,405267535.604684478339030925507963,405267535.604684478339030925507963,405267535.604684478339030925507963,405267535.604684478339030925507963,1628074800
1917,407507266.5899863683300770348526144,407507266.5899863683300770348526144,405508936.1711599229828157445755383,405508936.1711599229828157445755383,1628078400
1918,423296530.1774760313646224146523205,423296530.1774760313646224146523205,407784855.8305200005102887985024024,407784855.8305200005102887985024024,1628082000
1919,428379702.40735913164994923864718,428379702.40735913164994923864718,423402514.2418547346964804397139187,423402514.2418547346964804397139187,1628089200
1920,428833388.8009825614011588469404212,428833388.8009825614011588469404212,428714876.6686578095967730201063864,428714876.6686578095967730201063864,1628107200
1921,431092658.377750415723039444267817,431092658.377750415723039444267817,430227284.6843323489723038163998136,430227284.6843323489723038163998136,1628110800
1922,436483363.5444106039331817844954761,436483363.5444106039331817844954761,431215372.2565460198682527509005868,431215372.2565460198682527509005868,1628114400
1923,437626766.1658189340241385324787224,437626766.1658189340241385324787224,436483363.5444106039331817844954761,436483363.5444106039331817844954761,1628118000
1924,437900394.2888221744811382110721977,437900394.2888221744811382110721977,437780422.9921607124226556400470037,437780422.9921607124226556400470037,1628121600
1925,425927468.3398117822229089781073943,437576262.6052560988543860402809842,425927468.3398117822229089781073943,437576262.6052560988543860402809842,1628154000
1926,448045899.1376602312427403717938525,448045899.1376602312427403717938525,440401694.00530935168753490279514,440401694.00530935168753490279514,1628172000
1927,457750979.7478809518534421864858636,460656970.1039345625206241506321333,457750979.7478809518534421864858636,460656970.1039345625206241506321333,1628175600
1928,452938517.9476709460567591204102881,470040416.184073544935763772129745,452938517.9476709460567591204102881,470040416.184073544935763772129745,1628179200
1929,462263529.7805147481064383414757561,462263529.7805147481064383414757561,455908372.4056263335768943432260788,455908372.4056263335768943432260788,1628186400
1930,456645277.8553162191758619877283987,456869505.4906879899858205671817237,456645277.8553162191758619877283987,456869505.4906879899858205671817237,1628190000
1931,461949914.1170126066914209935992763,463280853.7258201624758813937432247,461949914.1170126066914209935992763,463280853.7258201624758813937432247,1628193600
1932,458359453.7116277984026216121417202,461852610.8717827310054299602250142,458359453.7116277984026216121417202,461852610.8717827310054299602250142,1628197200
1933,461711189.5069842010893230982375582,461786562.2073532765172302296709019,461711189.5069842010893230982375582,461786562.2073532765172302296709019,1628200800
1934,456515429.360754867451420305379621,461108626.3810434553222143925677233,456515429.360754867451420305379621,461108626.3810434553222143925677233,1628204400
1935,461640301.4376875412332534971141528,461640301.4376875412332534971141528,456620136.2185349281288184329669451,456620136.2185349281288184329669451,1628208000
1936,455948831.9501099264815412358435993,455948831.9501099264815412358435993,455948831.9501099264815412358435993,455948831.9501099264815412358435993,1628211600
1937,455502658.7713968784210434603608306,455948831.9501099264815412358435993,455502658.7713968784210434603608306,455948831.9501099264815412358435993,1628229600
